Squad,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,Gls,Ast,G+A,G-PK,G+A-PK,year
ch Basel,20,24.6,8,88,12,8,20,10,2,2,18,1.5,1.0,2.5,1.25,2.25,2011-2012
by BATE Borisov,21,24.9,12,66,2,0,2,1,1,1,8,0.17,0.0,0.17,0.08,0.08,2011-2012
de Bayern Munich,21,25.5,15,143,26,15,41,25,1,3,29,1.73,1.0,2.73,1.67,2.67,2011-2012
pt Benfica,22,25.9,14,110,12,8,20,12,0,0,27,0.86,0.57,1.43,0.86,1.43,2011-2012
eng Chelsea,23,27.7,13,152,27,21,48,25,2,3,31,2.08,1.62,3.69,1.92,3.54,2011-2012
ru CSKA Moscow,23,26.2,8,88,11,10,21,11,0,0,16,1.37,1.25,2.62,1.37,2.62,2011-2012
hr Dinamo Zagreb,19,24.3,12,66,3,2,5,3,0,0,18,0.25,0.17,0.42,0.25,0.42,2011-2012
de Dortmund,20,24.2,6,66,6,4,10,5,1,1,7,1.0,0.67,1.67,0.83,1.5,2011-2012
be Genk,20,24.9,10,66,2,2,4,2,0,0,9,0.2,0.2,0.4,0.2,0.4,2011-2012
it Inter,25,29.8,8,88,10,8,18,9,1,1,16,1.25,1.0,2.25,1.13,2.12,2011-2012
de Leverkusen,21,24.8,8,88,10,6,16,10,0,0,20,1.25,0.75,2.0,1.25,2.0,2011-2012
fr Lille,20,27.6,6,66,5,3,8,5,0,0,15,0.83,0.5,1.33,0.83,1.33,2011-2012
fr Lyon,20,25.9,10,88,10,8,18,10,0,0,15,1.0,0.8,1.8,1.0,1.8,2011-2012
eng Manchester City,20,25.7,6,66,8,5,13,7,1,1,10,1.33,0.83,2.17,1.17,2.0,2011-2012
eng Manchester Utd,24,26.1,6,66,10,6,16,8,2,2,8,1.67,1.0,2.67,1.33,2.33,2011-2012
fr Marseille,22,26.4,10,110,9,5,14,8,1,1,23,0.9,0.5,1.4,0.8,1.3,2011-2012
it Milan,27,29.1,10,110,16,12,28,14,2,2,26,1.6,1.2,2.8,1.4,2.6,2011-2012
it Napoli,19,28.4,8,88,13,10,23,12,1,1,21,1.62,1.25,2.87,1.5,2.75,2011-2012
gr Olympiacos,22,28.1,6,66,8,4,12,8,0,0,11,1.33,0.67,2.0,1.33,2.0,2011-2012
ro Oțelul Galați,22,25.8,6,66,3,0,3,2,1,1,15,0.5,0.0,0.5,0.33,0.33,2011-2012
pt Porto,20,25.1,6,66,6,3,9,5,1,2,19,1.0,0.5,1.5,0.83,1.33,2011-2012
es Real Madrid,24,25.8,12,132,34,27,61,32,2,2,24,2.83,2.25,5.08,2.67,4.92,2011-2012
ua Shakhtar,20,25.9,6,66,6,4,10,6,0,1,17,1.0,0.67,1.67,1.0,1.67,2011-2012
tr Trabzonspor,18,27.5,8,66,3,1,4,2,1,1,15,0.37,0.12,0.5,0.25,0.37,2011-2012
es Valencia,19,26.0,6,66,12,8,20,11,1,1,11,2.0,1.33,3.33,1.83,3.17,2011-2012
cz Viktoria Plzeň,19,28.5,12,66,4,4,8,4,0,0,15,0.33,0.33,0.67,0.33,0.67,2011-2012
es Villarreal,23,26.2,8,66,2,1,3,2,0,0,20,0.25,0.12,0.37,0.25,0.37,2011-2012
ru Zenit,20,28.3,8,88,10,6,16,10,0,1,18,1.25,0.75,2.0,1.25,2.0,2011-2012
nl Ajax,18,24.4,6,66,8,6,14,8,0,0,7,1.33,1.0,2.33,1.33,2.33,2012-2013
be Anderlecht,20,26.3,10,66,4,4,8,4,0,0,17,0.4,0.4,0.8,0.4,0.8,2012-2013
eng Arsenal,28,25.6,8,88,13,14,27,13,0,0,26,1.62,1.75,3.38,1.62,3.38,2012-2013
es Barcelona,25,26.9,12,132,18,14,32,17,1,1,25,1.5,1.17,2.67,1.42,2.58,2012-2013
by BATE Borisov,19,26.7,12,66,9,7,16,9,0,0,18,0.75,0.58,1.33,0.75,1.33,2012-2013
de Bayern Munich,21,26.3,13,143,30,24,54,29,1,2,30,2.31,1.85,4.15,2.23,4.08,2012-2013
pt Benfica,20,25.6,6,66,5,4,9,5,0,1,16,0.83,0.67,1.5,0.83,1.5,2012-2013
pt Braga,20,27.6,8,66,7,4,11,6,1,1,12,0.87,0.5,1.37,0.75,1.25,2012-2013
sct Celtic,19,25.2,12,88,8,5,13,7,1,1,16,0.67,0.42,1.08,0.58,1.0,2012-2013
ro CFR Cluj,19,27.4,10,66,8,7,15,8,0,0,10,0.8,0.7,1.5,0.8,1.5,2012-2013
eng Chelsea,19,26.3,6,66,16,9,25,15,1,2,6,2.67,1.5,4.17,2.5,4.0,2012-2013
hr Dinamo Zagreb,19,24.0,12,66,1,0,1,0,1,1,8,0.08,0.0,0.08,0.0,0.0,2012-2013
de Dortmund,20,25.0,13,143,23,16,39,21,2,3,14,1.77,1.23,3.0,1.62,2.85,2012-2013
ua Dynamo Kyiv,21,25.9,10,66,5,5,10,5,0,0,13,0.5,0.5,1.0,0.5,1.0,2012-2013
tr Galatasaray,22,27.6,10,110,14,12,26,14,0,0,26,1.4,1.2,2.6,1.4,2.6,2012-2013
it Juventus,24,28.1,10,110,16,14,30,16,0,0,20,1.6,1.4,3.0,1.6,3.0,2012-2013
fr Lille,22,27.1,8,66,4,3,7,4,0,0,20,0.5,0.37,0.87,0.5,0.87,2012-2013
es Málaga,24,28.2,12,110,16,14,30,15,1,2,24,1.33,1.17,2.5,1.25,2.42,2012-2013
eng Manchester City,21,26.3,6,66,7,3,10,5,2,2,15,1.17,0.5,1.67,0.83,1.33,2012-2013
eng Manchester Utd,28,26.1,8,88,10,7,17,9,1,2,12,1.25,0.87,2.12,1.13,2.0,2012-2013
it Milan,28,27.2,8,88,8,7,15,8,0,0,22,1.0,0.87,1.87,1.0,1.87,2012-2013
fr Montpellier,25,26.1,6,66,6,2,8,4,2,2,15,1.0,0.33,1.33,0.67,1.0,2012-2013
dk Nordsjælland,19,26.4,6,66,4,3,7,4,0,1,14,0.67,0.5,1.17,0.67,1.17,2012-2013
gr Olympiacos,20,27.5,6,66,9,6,15,9,0,0,13,1.5,1.0,2.5,1.5,2.5,2012-2013
fr Paris S-G,25,26.8,10,110,20,16,36,19,1,1,22,2.0,1.6,3.6,1.9,3.5,2012-2013
pt Porto,19,25.5,8,88,11,9,20,11,0,0,15,1.37,1.13,2.5,1.37,2.5,2012-2013
es Real Madrid,25,26.5,12,132,26,24,50,26,0,0,25,2.17,2.0,4.17,2.17,4.17,2012-2013
de Schalke 04,23,24.8,8,88,13,10,23,12,1,2,17,1.62,1.25,2.87,1.5,2.75,2012-2013
ua Shakhtar,18,26.8,8,88,14,10,24,14,0,0,15,1.75,1.25,3.0,1.75,3.0,2012-2013
ru Spartak Moscow,23,26.0,8,66,5,5,10,5,0,0,19,0.62,0.62,1.25,0.62,1.25,2012-2013
es Valencia,23,26.5,8,88,14,7,21,11,3,3,21,1.75,0.87,2.62,1.37,2.25,2012-2013
ru Zenit,21,28.8,6,66,6,3,9,5,1,1,15,1.0,0.5,1.5,0.83,1.33,2012-2013
nl Ajax,21,23.5,6,66,5,3,8,5,0,1,10,0.83,0.5,1.33,0.83,1.33,2013-2014
be Anderlecht,21,23.3,6,66,4,4,8,4,0,1,22,0.67,0.67,1.33,0.67,1.33,2013-2014
eng Arsenal,24,26.9,10,88,9,8,17,9,0,2,13,0.9,0.8,1.7,0.9,1.7,2013-2014
es Atlético Madrid,24,26.7,13,143,26,18,44,25,1,2,34,2.0,1.38,3.38,1.92,3.31,2013-2014
at Austria Wien,19,26.1,10,66,5,4,9,5,0,0,17,0.5,0.4,0.9,0.5,0.9,2013-2014
es Barcelona,24,27.6,10,110,21,16,37,18,3,3,20,2.1,1.6,3.7,1.8,3.4,2013-2014
ch Basel,19,25.2,10,66,5,6,11,5,0,0,13,0.5,0.6,1.1,0.5,1.1,2013-2014
de Bayern Munich,22,26.5,12,132,24,20,44,22,2,4,15,2.0,1.67,3.67,1.83,3.5,2013-2014
pt Benfica,21,27.0,6,66,7,4,11,6,1,1,11,1.17,0.67,1.83,1.0,1.67,2013-2014
sct Celtic,19,25.7,12,66,3,1,4,2,1,1,14,0.25,0.08,0.33,0.17,0.25,2013-2014
eng Chelsea,22,28.1,12,132,18,14,32,17,1,1,25,1.5,1.17,2.67,1.42,2.58,2013-2014
ru CSKA Moscow,20,26.2,6,66,7,5,12,5,2,2,7,1.17,0.83,2.0,0.83,1.67,2013-2014
de Dortmund,23,25.9,10,110,17,11,28,15,2,2,19,1.7,1.1,2.8,1.5,2.6,2013-2014
dk FC Copenhagen,19,27.5,6,66,4,3,7,4,0,0,9,0.67,0.5,1.17,0.67,1.17,2013-2014
tr Galatasaray,23,28.3,8,88,9,8,17,9,0,0,14,1.13,1.0,2.12,1.13,2.12,2013-2014
it Juventus,21,28.3,6,66,9,5,14,5,4,4,9,1.5,0.83,2.33,0.83,1.67,2013-2014
de Leverkusen,21,25.4,8,88,10,5,15,9,1,2,23,1.25,0.62,1.87,1.13,1.75,2013-2014
eng Manchester City,21,27.5,8,88,19,15,34,16,3,3,23,2.37,1.87,4.25,2.0,3.87,2013-2014
eng Manchester Utd,24,27.7,10,110,15,11,26,14,1,2,18,1.5,1.1,2.6,1.4,2.5,2013-2014
fr Marseille,19,26.6,6,66,5,4,9,4,1,1,15,0.83,0.67,1.5,0.67,1.33,2013-2014
it Milan,25,28.4,10,88,7,4,11,6,1,1,18,0.7,0.4,1.1,0.6,1.0,2013-2014
it Napoli,19,27.5,6,66,10,8,18,10,0,0,11,1.67,1.33,3.0,1.67,3.0,2013-2014
gr Olympiacos,23,26.4,8,88,12,10,22,11,1,3,21,1.5,1.25,2.75,1.37,2.62,2013-2014
fr Paris S-G,21,26.8,10,110,24,20,44,23,1,2,21,2.4,2.0,4.4,2.3,4.3,2013-2014
pt Porto,18,26.2,6,66,4,4,8,4,0,1,15,0.67,0.67,1.33,0.67,1.33,2013-2014
es Real Madrid,22,26.5,13,143,41,35,76,39,2,4,24,3.15,2.69,5.85,3.0,5.69,2013-2014
es Real Sociedad,23,26.0,8,66,1,0,1,1,0,1,12,0.12,0.0,0.12,0.12,0.12,2013-2014
de Schalke 04,25,25.0,10,88,8,6,14,8,0,0,18,0.8,0.6,1.4,0.8,1.4,2013-2014
ua Shakhtar,17,26.9,6,66,7,4,11,7,0,0,13,1.17,0.67,1.83,1.17,1.83,2013-2014
ro Steaua,21,26.5,12,66,2,2,4,2,0,0,13,0.17,0.17,0.33,0.17,0.33,2013-2014
cz Viktoria Plzeň,18,28.9,12,66,6,6,12,6,0,0,12,0.5,0.5,1.0,0.5,1.0,2013-2014
ru Zenit,21,27.4,12,88,8,5,13,7,1,2,16,0.67,0.42,1.08,0.58,1.0,2013-2014
nl Ajax,19,23.6,6,66,8,6,14,7,1,1,16,1.33,1.0,2.33,1.17,2.17,2014-2015
be Anderlecht,21,23.7,6,66,8,4,12,7,1,1,11,1.33,0.67,2.0,1.17,1.83,2014-2015
cy APOEL FC,21,28.9,10,66,1,0,1,0,1,1,9,0.17,0.0,0.17,0.0,0.0,2014-2015
eng Arsenal,29,25.4,10,88,18,9,27,17,1,1,14,2.25,1.13,3.38,2.12,3.25,2014-2015
es Athletic Club,20,26.9,8,66,5,5,10,5,0,0,17,0.83,0.83,1.67,0.83,1.67,2014-2015
es Atlético Madrid,23,27.4,10,110,15,10,25,15,0,0,31,1.45,0.97,2.42,1.45,2.42,2014-2015
es Barcelona,22,26.8,13,143,31,26,57,31,0,1,20,2.38,2.0,4.38,2.38,4.38,2014-2015
ch Basel,23,25.1,8,88,8,6,14,8,0,0,24,1.0,0.75,1.75,1.0,1.75,2014-2015
by BATE Borisov,20,25.3,12,66,2,1,3,2,0,0,11,0.33,0.17,0.5,0.33,0.5,2014-2015
de Bayern Munich,24,26.7,12,132,33,23,56,29,4,4,25,2.75,1.92,4.67,2.42,4.33,2014-2015
pt Benfica,24,27.5,6,66,2,2,4,2,0,0,16,0.33,0.33,0.67,0.33,0.67,2014-2015
eng Chelsea,24,27.1,8,88,18,12,30,14,4,5,13,2.16,1.44,3.6,1.68,3.12,2014-2015
ru CSKA Moscow,18,27.0,6,66,6,4,10,5,1,1,10,1.0,0.67,1.67,0.83,1.5,2014-2015
de Dortmund,24,26.5,8,88,14,12,26,14,0,0,4,1.75,1.5,3.25,1.75,3.25,2014-2015
tr Galatasaray,22,27.7,6,66,4,2,6,3,1,1,18,0.67,0.33,1.0,0.5,0.83,2014-2015
it Juventus,24,29.3,13,143,16,11,27,14,2,3,25,1.23,0.85,2.08,1.08,1.92,2014-2015
de Leverkusen,21,25.2,10,88,8,7,15,7,1,1,22,0.96,0.84,1.8,0.84,1.68,2014-2015
eng Liverpool,21,25.7,6,66,5,1,6,4,1,1,8,0.83,0.17,1.0,0.67,0.83,2014-2015
bg Ludogorets,19,27.4,12,66,5,4,9,5,0,0,13,0.83,0.67,1.5,0.83,1.5,2014-2015
se Malmö,17,25.1,12,66,4,2,6,4,0,0,18,0.67,0.33,1.0,0.67,1.0,2014-2015
eng Manchester City,20,28.7,8,88,10,4,14,8,2,3,23,1.25,0.5,1.75,1.0,1.5,2014-2015
fr Monaco,22,25.9,10,110,7,7,14,7,0,0,21,0.7,0.7,1.4,0.7,1.4,2014-2015
si NK Maribor,17,27.3,12,66,3,1,4,3,0,1,12,0.5,0.17,0.67,0.5,0.67,2014-2015
gr Olympiacos,19,26.7,6,66,10,8,18,10,0,0,10,1.67,1.33,3.0,1.67,3.0,2014-2015
fr Paris S-G,19,27.2,10,110,13,11,24,13,0,0,15,1.26,1.06,2.32,1.26,2.32,2014-2015
pt Porto,23,24.4,12,110,25,12,37,22,3,5,21,2.5,1.2,3.7,2.2,3.4,2014-2015
es Real Madrid,23,26.4,12,132,23,19,42,20,3,4,21,1.92,1.58,3.5,1.67,3.25,2014-2015
it Roma,20,28.3,6,66,7,5,12,7,0,0,6,1.17,0.83,2.0,1.17,2.0,2014-2015
de Schalke 04,26,25.6,8,88,12,8,20,11,1,1,11,1.5,1.0,2.5,1.37,2.37,2014-2015
ua Shakhtar,20,27.0,8,88,15,11,26,12,3,3,20,1.87,1.37,3.25,1.5,2.87,2014-2015
pt Sporting CP,19,24.1,6,66,12,5,17,9,3,3,17,2.0,0.83,2.83,1.5,2.33,2014-2015
ru Zenit,18,27.6,10,66,4,4,8,4,0,0,15,0.67,0.67,1.33,0.67,1.33,2014-2015
eng Arsenal,24,27.2,8,88,13,12,25,12,1,1,17,1.62,1.5,3.12,1.5,3.0,2015-2016
es Atlético Madrid,23,26.3,13,143,16,13,29,15,1,1,23,1.17,0.95,2.12,1.1,2.05,2015-2016
es Barcelona,25,27.1,10,112,22,17,39,20,2,2,23,2.2,1.7,3.9,2.0,3.7,2015-2016
by BATE Borisov,20,26.2,12,66,5,5,10,5,0,0,18,0.83,0.83,1.67,0.83,1.67,2015-2016
de Bayern Munich,23,26.8,12,132,30,21,51,29,1,0,20,2.43,1.7,4.14,2.35,4.05,2015-2016
pt Benfica,25,26.6,10,110,15,12,27,15,0,0,29,1.5,1.2,2.7,1.5,2.7,2015-2016
eng Chelsea,21,26.6,8,88,13,7,20,12,1,2,15,1.62,0.87,2.5,1.5,2.37,2015-2016
ru CSKA Moscow,19,28.0,10,66,5,3,8,2,3,4,12,0.83,0.5,1.33,0.33,0.83,2015-2016
hr Dinamo Zagreb,20,26.3,12,66,3,2,5,3,0,0,15,0.5,0.33,0.83,0.5,0.83,2015-2016
ua Dynamo Kyiv,21,27.2,8,88,9,4,13,8,1,1,17,1.13,0.5,1.62,1.0,1.5,2015-2016
kz FC Astana,21,26.9,12,66,3,3,6,3,0,0,11,0.5,0.5,1.0,0.5,1.0,2015-2016
tr Galatasaray,19,29.2,6,66,5,4,9,4,1,1,12,0.83,0.67,1.5,0.67,1.33,2015-2016
be Gent,18,25.9,8,88,10,7,17,9,1,1,18,1.25,0.87,2.12,1.13,2.0,2015-2016
it Juventus,20,28.7,8,88,10,7,17,10,0,0,14,1.2,0.84,2.04,1.2,2.04,2015-2016
de Leverkusen,18,24.1,8,66,13,9,22,11,2,2,12,2.17,1.5,3.67,1.83,3.33,2015-2016
fr Lyon,21,25.9,6,66,5,5,10,5,0,1,15,0.83,0.83,1.67,0.83,1.67,2015-2016
de M'Gladbach,21,25.4,6,66,8,8,16,8,0,1,11,1.33,1.33,2.67,1.33,2.67,2015-2016
il Maccabi Tel Aviv,20,26.8,12,66,1,0,1,0,1,1,14,0.17,0.0,0.17,0.0,0.0,2015-2016
se Malmö,19,26.8,12,66,1,1,2,1,0,2,14,0.17,0.17,0.33,0.17,0.33,2015-2016
eng Manchester City,22,28.4,12,132,16,13,29,15,1,1,15,1.33,1.08,2.42,1.25,2.33,2015-2016
eng Manchester Utd,23,25.6,8,66,6,5,11,5,1,1,11,1.0,0.83,1.83,0.83,1.67,2015-2016
gr Olympiacos,18,25.9,6,66,5,5,10,5,0,1,12,0.83,0.83,1.67,0.83,1.67,2015-2016
fr Paris S-G,21,27.9,10,110,17,15,32,17,0,1,22,1.7,1.5,3.2,1.7,3.2,2015-2016
pt Porto,18,25.9,6,66,9,7,16,9,0,0,13,1.5,1.17,2.67,1.5,2.67,2015-2016
nl PSV Eindhoven,22,24.1,8,88,8,8,16,8,0,1,22,0.96,0.96,1.92,0.96,1.92,2015-2016
es Real Madrid,22,26.7,13,143,27,17,44,25,2,0,24,2.03,1.27,3.3,1.87,3.15,2015-2016
it Roma,24,26.0,8,88,11,8,19,10,1,2,10,1.37,1.0,2.37,1.25,2.25,2015-2016
es Sevilla,19,27.0,6,66,8,4,12,5,3,4,7,1.33,0.67,2.0,0.83,1.5,2015-2016
ua Shakhtar,22,27.5,10,66,7,4,11,5,2,2,17,1.17,0.67,1.83,0.83,1.5,2015-2016
es Valencia,22,24.6,8,66,3,2,5,3,0,0,19,0.5,0.33,0.83,0.5,0.83,2015-2016
de Wolfsburg,22,27.0,10,110,14,10,24,13,1,1,18,1.4,1.0,2.4,1.3,2.3,2015-2016
ru Zenit,24,28.4,8,88,14,13,27,14,0,0,27,1.75,1.62,3.38,1.75,3.38,2015-2016
eng Arsenal,21,26.3,8,88,19,13,32,18,1,2,15,2.37,1.62,4.0,2.25,3.87,2016-2017
es Atlético Madrid,20,26.6,12,132,15,9,24,12,3,4,21,1.25,0.75,2.0,1.0,1.75,2016-2017
es Barcelona,23,27.0,10,110,25,17,42,22,3,4,27,2.5,1.7,4.2,2.2,3.9,2016-2017
ch Basel,18,27.0,6,66,3,2,5,3,0,0,13,0.5,0.33,0.83,0.5,0.83,2016-2017
de Bayern Munich,21,28.3,10,110,26,13,39,22,4,5,20,2.52,1.26,3.77,2.13,3.39,2016-2017
pt Benfica,25,25.5,8,88,11,6,17,9,2,2,13,1.37,0.75,2.12,1.13,1.87,2016-2017
tr Beşiktaş,21,29.2,6,66,9,3,12,7,2,2,15,1.5,0.5,2.0,1.17,1.67,2016-2017
sct Celtic,22,26.5,6,66,4,2,6,3,1,2,8,0.67,0.33,1.0,0.5,0.83,2016-2017
be Club Brugge,21,26.8,6,66,2,2,4,2,0,0,13,0.33,0.33,0.67,0.33,0.67,2016-2017
ru CSKA Moscow,19,27.9,6,66,5,4,9,4,1,1,7,0.83,0.67,1.5,0.67,1.33,2016-2017
hr Dinamo Zagreb,24,24.4,6,66,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,2016-2017
de Dortmund,25,25.1,10,110,27,21,48,26,1,2,19,2.7,2.1,4.8,2.6,4.7,2016-2017
ua Dynamo Kyiv,24,26.1,6,66,8,5,13,7,1,2,15,1.33,0.83,2.17,1.17,2.0,2016-2017
dk FC Copenhagen,19,25.5,6,66,5,5,10,5,0,1,9,0.83,0.83,1.67,0.83,1.67,2016-2017
it Juventus,25,29.9,13,144,21,10,31,18,3,3,31,1.62,0.77,2.38,1.38,2.15,2016-2017
pl Legia Warsaw,22,28.0,6,66,9,8,17,8,1,1,15,1.5,1.33,2.83,1.33,2.67,2016-2017
eng Leicester City,26,28.0,10,110,11,5,16,9,2,2,19,1.1,0.5,1.6,0.9,1.4,2016-2017
de Leverkusen,26,24.6,8,88,8,5,13,8,0,1,16,1.0,0.62,1.62,1.0,1.62,2016-2017
bg Ludogorets,19,28.5,6,66,6,4,10,6,0,1,9,1.0,0.67,1.67,1.0,1.67,2016-2017
fr Lyon,21,25.3,6,66,5,5,10,5,0,1,14,0.83,0.83,1.67,0.83,1.67,2016-2017
de M'Gladbach,19,25.5,6,66,5,4,9,5,0,0,10,0.83,0.67,1.5,0.83,1.5,2016-2017
eng Manchester City,22,28.1,8,88,18,14,32,17,1,1,16,2.25,1.75,4.0,2.12,3.87,2016-2017
fr Monaco,23,25.3,12,132,21,14,35,21,0,3,28,1.75,1.17,2.92,1.75,2.92,2016-2017
it Napoli,21,26.7,8,88,13,9,22,11,2,3,10,1.62,1.13,2.75,1.37,2.5,2016-2017
fr Paris S-G,24,26.6,8,88,17,14,31,16,1,1,17,2.12,1.75,3.87,2.0,3.75,2016-2017
pt Porto,23,26.0,8,88,9,7,16,7,2,2,17,1.13,0.87,2.0,0.87,1.75,2016-2017
nl PSV Eindhoven,20,24.9,6,66,4,2,6,4,0,2,6,0.67,0.33,1.0,0.67,1.0,2016-2017
es Real Madrid,23,27.4,13,143,34,30,64,34,0,0,19,2.55,2.25,4.8,2.55,4.8,2016-2017
ru Rostov,18,29.0,6,66,6,4,10,5,1,1,10,1.0,0.67,1.67,0.83,1.5,2016-2017
es Sevilla,22,27.4,8,88,9,8,17,9,0,3,19,1.13,1.0,2.12,1.13,2.12,2016-2017
pt Sporting CP,21,26.2,6,66,5,2,7,4,1,1,16,0.83,0.33,1.17,0.67,1.0,2016-2017
eng Tottenham,21,24.9,6,66,5,5,10,4,1,1,6,0.83,0.83,1.67,0.67,1.5,2016-2017
be Anderlecht,20,26.1,6,66,1,1,2,1,0,0,6,0.17,0.17,0.33,0.17,0.33,2017-2018
cy APOEL FC,21,29.7,6,66,2,1,3,2,0,0,13,0.33,0.17,0.5,0.33,0.5,2017-2018
es Atlético Madrid,20,27.0,6,66,5,4,9,4,1,1,7,0.83,0.67,1.5,0.67,1.33,2017-2018
es Barcelona,22,27.8,10,110,12,11,23,12,0,0,19,1.2,1.1,2.3,1.2,2.3,2017-2018
ch Basel,21,25.4,8,88,13,6,19,12,1,1,14,1.62,0.75,2.37,1.5,2.25,2017-2018
de Bayern Munich,22,27.5,12,132,24,17,41,23,1,1,23,2.0,1.42,3.42,1.92,3.33,2017-2018
pt Benfica,25,26.8,6,66,1,1,2,1,0,0,13,0.17,0.17,0.33,0.17,0.33,2017-2018
tr Beşiktaş,23,30.2,8,88,12,8,20,10,2,2,20,1.5,1.0,2.5,1.25,2.25,2017-2018
sct Celtic,20,26.1,6,66,5,4,9,5,0,0,6,0.83,0.67,1.5,0.83,1.5,2017-2018
eng Chelsea,19,26.9,8,88,15,9,24,13,2,2,10,1.87,1.13,3.0,1.62,2.75,2017-2018
ru CSKA Moscow,20,28.1,6,66,7,4,11,6,1,1,13,1.17,0.67,1.83,1.0,1.67,2017-2018
de Dortmund,22,26.2,6,66,7,6,13,7,0,0,10,1.17,1.0,2.17,1.17,2.17,2017-2018
nl Feyenoord,23,25.1,6,66,5,4,9,5,0,1,17,0.83,0.67,1.5,0.83,1.5,2017-2018
it Juventus,23,29.5,10,110,14,9,23,13,1,2,27,1.4,0.9,2.3,1.3,2.2,2017-2018
eng Liverpool,24,25.6,13,143,41,35,76,40,1,3,22,3.15,2.69,5.85,3.08,5.77,2017-2018
eng Manchester City,25,25.9,10,110,20,16,36,19,1,2,19,2.0,1.6,3.6,1.9,3.5,2017-2018
eng Manchester Utd,25,26.5,8,88,12,7,19,10,2,3,10,1.5,0.87,2.37,1.25,2.12,2017-2018
fr Monaco,23,26.0,6,66,6,4,10,5,1,1,14,1.0,0.67,1.67,0.83,1.5,2017-2018
