Squad,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,Gls,Ast,G+A,G-PK,G+A-PK,year
ua Shakhtar,25,25.2,6,66,2,2,4,2,0,0,5,0.33,0.33,0.67,0.33,0.67,2021-2022
md Sheriff Tiraspol,19,26.0,6,66,7,5,12,7,0,0,13,1.17,0.83,2.0,1.17,2.0,2021-2022
pt Sporting CP,27,26.7,8,88,14,10,24,12,2,3,21,1.75,1.25,3.0,1.5,2.75,2021-2022
es Villarreal,25,28.0,12,132,20,16,36,18,2,2,26,1.67,1.33,3.0,1.5,2.83,2021-2022
de Wolfsburg,21,26.1,6,66,5,4,9,5,0,0,25,0.83,0.67,1.5,0.83,1.5,2021-2022
ch Young Boys,24,25.5,6,66,7,4,11,7,0,0,11,1.17,0.67,1.83,1.17,1.83,2021-2022
ru Zenit,21,27.9,6,66,9,6,15,8,1,2,9,1.5,1.0,2.5,1.33,2.33,2021-2022
nl Ajax,19,26.4,6,66,11,9,20,10,1,1,15,1.83,1.5,3.33,1.67,3.17,2022-2023
es Atlético Madrid,22,28.6,6,66,4,3,7,4,0,2,13,0.67,0.5,1.17,0.67,1.17,2022-2023
es Barcelona,26,26.4,6,66,12,10,22,12,0,0,10,2.0,1.67,3.67,2.0,3.67,2022-2023
de Bayern Munich,24,26.6,10,110,21,19,40,20,1,1,20,2.1,1.9,4.0,2.0,3.9,2022-2023
pt Benfica,24,26.0,10,110,25,16,41,20,5,5,19,2.5,1.6,4.1,2.0,3.6,2022-2023
sct Celtic,22,26.0,6,66,3,1,4,3,0,1,7,0.5,0.17,0.67,0.5,0.67,2022-2023
eng Chelsea,26,26.9,10,110,12,7,19,10,2,2,25,1.2,0.7,1.9,1.0,1.7,2022-2023
be Club Brugge,25,26.3,8,88,8,7,15,7,1,2,27,1.0,0.87,1.87,0.87,1.75,2022-2023
hr Dinamo Zagreb,20,26.9,6,66,4,2,6,4,0,0,13,0.67,0.33,1.0,0.67,1.0,2022-2023
de Dortmund,26,26.0,8,88,11,10,21,11,0,0,17,1.37,1.25,2.62,1.37,2.62,2022-2023
de Eint Frankfurt,22,26.1,8,88,7,5,12,6,1,1,18,0.87,0.62,1.5,0.75,1.37,2022-2023
dk FC Copenhagen,25,24.6,6,66,1,1,2,1,0,0,12,0.17,0.17,0.33,0.17,0.33,2022-2023
it Inter,22,28.5,13,143,19,17,36,18,1,1,27,1.46,1.31,2.77,1.38,2.69,2022-2023
it Juventus,26,28.3,6,66,9,8,17,9,0,0,14,1.5,1.33,2.83,1.5,2.83,2022-2023
de Leverkusen,20,24.8,6,66,4,4,8,4,0,2,19,0.67,0.67,1.33,0.67,1.33,2022-2023
eng Liverpool,25,27.5,8,88,19,15,34,18,1,1,10,2.37,1.87,4.25,2.25,4.12,2022-2023
